order_id,products
65432,26604 41844 24852 10673 5450
38977,13027 25197 47521 14366
3341590,10017 47766 21137 40571 31717 9839 10749 9020 42265 1468 1057 47209 8012 31040 27966 35547 47626 4920 22935 46979 48745 45007 26209 36011 44632 28204 24852 41787 18811 27845 5550 18465 38985 22969 5212 43616 10603 21903 9631 42585 15937 34358
468096,13176 27966 36695 5785
3294182,6184 17313 35336 14715 28413 23452 23719 7252 13176 25133 18023
1025964,21150 10343 48679 28204
1962375,17417 6505 4778 5077 34519 11983 21067 47827 41602 27656 18346
1900594,47766 4493
2138432,31288 13249 24852 21137
266204,24852
2116616,42768 42736 8251 5876 13176 5337
447069,26209 21137 43394
742170,6046 17341 287
1393578,15923 45279 48825 27514 46654 14233 39877 22472 20463 21616 9076 27966 3800 23265 4614 5622 43772 4136 19878 17744 28427 13176 11422 47993
2118331,38739 23909
1343997,39928 24852 4920 7130 21137 47209 6933 21903 42265 47766 24838
730911,4565 49474 47766 16556 43352
2535769,22950
1377488,11520 35221 20632 46979 43295 27521 4799
926228,22035 39928 13176 12395 5514 20379 27966
2440049,24852 46584 38200
2429273,28278 7131 40706 45066 44275 36735 16185 37792 49520 24852 44116 24850 44098 14858 39561 5212 4920 30599 24841 21376 21709 6552 28521 36011 41787 3989 44310 13605 21137 47759 42383 32139 8277 21938
1235385,49191 1179 14947 49465 27756 47226 25304 49544 33065 44987 2078 18380 27323 22866 28913 20114 4605 40593
3022948,39922
563970,46667 26940 21616 48775
2267627,33548 36591 31342 34503 26698 34234 11513 19348
524060,28985 24964 7054 25890 28204 26209 21903 24852 17794 6104
1218037,22963 31394 24852 36533 37052 18721 9515 33894 47185 40332 49633 15902 16797 45064 14778 27104 17341 14493
3078569,35547 39984 31127 41290 13176 2480 8859
3349752,24852 33454 47509
1995522,17980 47766 21903 13838 8021 8230 19677 25533 47720 45437 24852 31506 18599 45445 17830 43713 48637
1188686,21903 27012 24117 49227 10673 18439 33909 31789
2755862,21376 43154 49235 7898 32655 29447 45840 16617
